Study Name	Abbreviation	Data Modalities	Diseases Included	Sample Size	Access URL	FAIR Compliance Notes	Dataset Type	Date added to catalog
Aging, Demographics, and Memory Study	ADAMS	[clinical] Clinical assessments; Neuropathology; Cognitive testing; Demographic data	Alzheimer's Disease; Vascular Dementia; Normal Controls	856 participants	https://hrs.isr.umich.edu/data-products/adams	Good FAIR compliance with clinical data standards and population-based sampling	Human	December 2025
Alzheimer's Disease Connectome Project	ADCP	[clinical, imaging] DTI; fMRI; Structural MRI; Clinical data; Connectome analysis	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	200 participants	https://www.nitrc.org/projects/adcp/	Good FAIR compliance with neuroimaging data standards and brain connectivity analysis	Human	December 2025
Alzheimer's Disease Cooperative Study Clinical Trials Dataset	ADCS	[clinical, longitudinal] Clinical trials data; Biomarkers; Clinical assessments; Longitudinal outcome measures	Alzheimer's Disease; Mild Cognitive Impairment	10,000 participants	https://www.adcs.org/	Strong FAIR compliance with clinical trial data standards and regulatory-grade data collection	Human	December 2025
Alzheimer's Disease Genetics Consortium	ADGC	[clinical, genetics] Genomics; GWAS data; Exome sequencing; Clinical data	Alzheimer's Disease	30,000 participants	https://www.adgenetics.org/	Good FAIR compliance with genetic data sharing and meta-analysis protocols	Human	December 2025
Alzheimer's Disease Metabolomics Consortium	ADMC	[clinical, metabolomics] Metabolomics; Clinical data; Plasma metabolites; CSF metabolites	Alzheimer's Disease; Mild Cognitive Impairment	1,500 participants	https://www.synapse.org/#!Synapse:syn2580853	Strong FAIR compliance with metabolomics data standards and standardized collection protocols	Human	December 2025
Alzheimer's Disease Neuroimaging Initiative Grand Opportunities	ADNI-GO	[clinical, genetics, imaging, longitudinal] Clinical assessments; MRI (3T); FDG-PET; CSF biomarkers; Genomics; Neuropsychological testing	Alzheimer's Disease; Early Mild Cognitive Impairment; Normal Controls	200 participants	https://adni.loni.usc.edu/	Strong FAIR compliance with enhanced 3T MRI protocols and data sharing standards	Human	December 2025
Alzheimer's Disease Neuroimaging Initiative Phase 1	ADNI-1	[clinical, genetics, imaging, longitudinal] Clinical assessments; MRI (1.5T/3T); FDG-PET; CSF biomarkers; Genomics; Neuropsychological testing	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	818 participants	https://adni.loni.usc.edu/	Strong FAIR compliance with standardized data formats and metadata; frozen standardized analysis sets available	Human	December 2025
Alzheimer's Disease Neuroimaging Initiative Phase 2	ADNI-2	[clinical, genetics, imaging, longitudinal] Clinical assessments; MRI (3T with FLAIR, T2*); FDG-PET; Florbetapir-PET; ASL; rs-fMRI; DTI; CSF biomarkers; Genomics	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	1,500 participants	https://adni.loni.usc.edu/	Strong FAIR compliance with advanced multimodal neuroimaging protocols	Human	December 2025
Alzheimer's Disease Neuroimaging Initiative Phase 3	ADNI-3	[clinical, genetics, imaging, longitudinal] Clinical assessments; MRI (3T); Tau-PET (AV-1451); Florbetapir-PET; FDG-PET; CSF biomarkers; Plasma biomarkers; Genomics	Alzheimer's Disease; Mild Cognitive Impairment; Preclinical Alzheimer's Disease; Normal Controls	2,000 participants	https://adni.loni.usc.edu/	Strong FAIR compliance with tau-PET imaging and enhanced biomarker collection	Human	December 2025
Alzheimer's Disease Sequencing Project - Whole Exome Sequencing	ADSP-WES	[clinical, genetics] Whole exome sequencing; Clinical data; Genomics	Alzheimer's Disease	11,000 participants	https://www.niagads.org/adsp/content/home	Strong FAIR compliance with genomic data standards and variant calling pipelines	Human	December 2025
Alzheimer's Disease Sequencing Project - Whole Genome Sequencing	ADSP-WGS	[clinical, genetics] Whole genome sequencing; Clinical data; Structural variant analysis	Alzheimer's Disease	9,000 participants	https://www.niagads.org/adsp/content/home	Strong FAIR compliance with comprehensive genomic data and harmonized phenotypes	Human	December 2025
Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	[clinical, imaging] Clinical assessments; Amyloid-PET; MRI; Tau-PET; Cognitive testing; CSF biomarkers; Clinical trial data	Preclinical Alzheimer's Disease; Amyloid-positive Cognitively Normal; Normal Controls	1,169 participants	https://a4study.org/	Strong FAIR compliance with clinical trial data standards and comprehensive biomarker collection	Human	December 2025
Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	[clinical, imaging] MRI; PiB PET; Clinical assessments; Neuropsychological testing; CSF biomarkers; Lifestyle factors	Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	1,100 participants	https://aibl.csiro.au/	Strong FAIR compliance with standardized imaging protocols and data sharing through ADNI infrastructure	Human	December 2025
Baltimore Longitudinal Study of Aging	BLSA	[clinical, longitudinal, genetics, transcriptomics, proteomics, imaging] Clinical assessments; MRI; PET; Cognitive testing; Neuropathology; Biomarkers; Longitudinal follow-up (60+ years)	Alzheimer's Disease; Normal Aging; Age-related Cognitive Decline; Multiple Neurodegenerative Diseases	3,200+ participants	https://www.nia.nih.gov/research/labs/blsa	Excellent FAIR compliance as one of the longest-running scientific studies of human aging	Human	December 2025
Fox Investigation for New Discovery of Biomarkers in Parkinson's Disease Study	BioFIND	[clinical] Clinical assessments; Blood biomarkers; CSF biomarkers; Alpha-synuclein seed amplification assay; Motor assessments	Parkinson's Disease; Normal Controls	120 participants	https://www.michaeljfox.org/biofind	Excellent FAIR compliance with comprehensive biospecimen collection and data sharing through MJFF	Human	December 2025
Brain Health Registry	BHR	[clinical, longitudinal] Online cognitive assessments; Self-reported health data; Longitudinal monitoring; Registry data	Alzheimer's Disease; Parkinson's Disease; Cognitive Decline; Normal Aging; Multiple Neurodegenerative Conditions	75,000+ participants	https://www.brainhealthregistry.org/	Good FAIR compliance with large-scale online data collection and participant referral to clinical studies	Human	December 2025
De Novo Parkinson's Disease Study	DeNoPa	[clinical, imaging, longitudinal] Clinical assessments; MRI; SPECT; Blood biomarkers; CSF biomarkers; Autonomic testing; Sleep studies	Early Parkinson's Disease; Normal Controls	200 participants	https://www.denopa-kassel.de/	Good FAIR compliance with comprehensive baseline and longitudinal assessments	Human	December 2025
Department of Defense Alzheimer's Disease Neuroimaging Initiative	ADNI-DOD	[clinical, genetics, imaging] Clinical assessments; MRI; PET; CSF biomarkers; Blood biomarkers; Genomics; Tau-PET; Military service history	Alzheimer's Disease; Traumatic Brain Injury; PTSD; Mild Cognitive Impairment; Normal Controls	500 participants	https://adni.loni.usc.edu/adni-dod/	Strong FAIR compliance following ADNI standards with additional focus on military-related risk factors	Human	December 2025
Dominantly Inherited Alzheimer Network	DIAN	[clinical, longitudinal, genetics, imaging] Clinical assessments; MRI; PET; CSF biomarkers; Genomics; Longitudinal cognitive assessment	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	500 participants	https://dian.wustl.edu/	Excellent FAIR compliance with longitudinal data tracking for familial AD mutations	Human	December 2025
European Medical Information Framework for Alzheimer's Disease	EMIF-AD	[clinical, imaging] Clinical assessments; Biomarkers; Neuroimaging; Cognitive testing; Multi-cohort federated data	Alzheimer's Disease; Dementia; Normal Controls	85,000 participants across 48 cohorts	https://www.emif.eu/	Good FAIR compliance with federated approach to data sharing across 48 AD and dementia cohorts	Multi-study	December 2025
European Prevention of Alzheimer's Dementia Longitudinal Cohort Study	EPAD-LCS	[clinical, imaging, longitudinal] Clinical assessments; MRI; PET; CSF biomarkers; Plasma biomarkers; Cognitive assessments; Neuropsychological testing	Preclinical Alzheimer's Disease; Mild Cognitive Impairment; Normal Controls	2,000 participants	https://ep-ad.org/	Strong FAIR compliance with data freely available through AD Workbench; comprehensive biobanking standards	Human	December 2025
Global Neurodegeneration Proteomics Consortium	GNPC	[clinical, proteomics, longitudinal] Proteomics; Plasma proteomics; CSF proteomics; Serum proteomics; Clinical assessments; Biomarkers; Multi-platform protein measurements; SomaScan assays	Alzheimer's Disease; Parkinson's Disease; Amyotrophic Lateral Sclerosis; Frontotemporal Dementia; Aging	35,000+ biofluid samples across 23 cohort studies	https://www.neuroproteome.org/	Excellent FAIR compliance with 250+ million protein measurements; data accessible via AD Workbench; public release July 2025	Multi-study	December 2025
Harvard Biomarker Study	HBS	[clinical, getics, transcriptomics, proteomics, longitudinal] Clinical assessments; Blood biomarkers; CSF biomarkers; Longitudinal assessments; Motor testing	Parkinson's Disease; Prodromal Parkinson's Disease; Normal Controls	400+ participants	https://www.bwhparkinsoncenter.org/biobank/	Good FAIR compliance with longitudinal biomarker collection and clinical correlation	Human	December 2025
iPSC Neurodegenerative Disease Initiative Cell Line Collection	iNDI	[transcriptomics, proteomics] Human iPSC lines; CRISPR-edited variants; Gene expression; Proteomics; Differentiated neural cell types; Quality control data	Alzheimer's Disease; ALS; Parkinson's Disease; Frontotemporal Dementia; Lewy Body Dementia	400+ engineered iPSC lines	https://www.jax.org/jax-mice-and-services/ipsc/cells-collection	Strong FAIR compliance with standardized cell line characterization and open access distribution	Biosample	December 2025
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	[clinical, genetics, imaging, longitudinal] Clinical assessments; MRI; PET; CSF biomarkers; Genomics; Neuropsychological testing	Early-onset Alzheimer's Disease; Young-onset Dementia	400 participants	https://leads.ucsf.edu/	Strong FAIR compliance with specialized early-onset AD data collection protocols	Human	December 2025
