Resource Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Biomedical Relevance	Code Summary	Data Types	Tooling	FAIR Issues	FAIR Score
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/llevitis/DIAN_ESM_AmyloidBeta_Project	llevitis	llevitis; dependabot[bot]	Jupyter Notebook					No Version Info; No Container; No Environment Spec	7
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/WheelockLab/Tu-2024-DIAN-HubDisruption-FC	WheelockLab	cindyhfls	MATLAB					No Dependencies; No Version Info; No Container; No Environment Spec	6
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/scify/Dianoia-app	scify	PavlosIsaris; dependabot[bot]	TypeScript					No Environment Spec	9
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/scify/Dianoia-Marketplace	scify	NikolasGialitsis; PavlosIsaris; dependabot[bot]; stacksharebot; estafons	PHP					No Container; No Environment Spec	8
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/onkel83/BrainAI_Diane_Plugins	onkel83	winemp83Main; onkel83	C#					No Dependencies; No Version Info; No Container; No Environment Spec	6
Dominantly Inherited Alzheimer Network	DIAN	Familial Alzheimer's Disease; Presymptomatic Mutation Carriers; Normal Controls	https://github.com/seowork321/https-dianaandroma.site-diana-and-roma-study-human-body-organs-	seowork321	seowork321						No Dependencies; No Version Info; No Container; No Environment Spec	6
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/gemmashireby/BDR_neuropathology_EWAS	gemmashireby	gemmashireby	R					No Dependencies; No Version Info; No Container; No Environment Spec	6
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/IAiAye/BDrive	IAiAye	IAiAye						No Dependencies; No Version Info; No Container; No Environment Spec	6
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/htil/bdr-muse	htil	BryanHernandez04; ajaymehul; pwstegman; BryanYHernandez	JavaScript					No Version Info; No Container; No Environment Spec	7
Brains for Dementia Research	BDR	Alzheimer's Disease; Dementia; Normal Controls	https://github.com/htil/bdr-simulator	htil	BryanHernandez04; lcbentley13; BryanYHernandez	CSS					No Version Info; No Container; No Environment Spec	7
